year,number,song,artist,semanas
2014,42,Shake It Off,Taylor Swift,19 Semanas en lista
2014,43,Trumpets,JASON DERÜLO,21 Semanas en lista
2014,44,Cola Song (feat. J Balvin),Inna,19 Semanas en lista
2014,45,Wrecking Ball,Miley Cyrus,"26 Semanas en lista
1x"
2014,46,Wake Me Up (radio edit),Avicii,"41 Semanas en lista
1x"
2014,47,Humanos a Marte,CHAYANNE,24 Semanas en lista
2014,48,Noche Y De Dia,Enrique Iglesias feat Yandel & Juan Magán,16 Semanas en lista
2014,49,Demons,Imagine Dragons,25 Semanas en lista
2014,50,Emocional,Dani Martín,23 Semanas en lista
2015,1,El Perdon,Nicky Jam / Enrique Iglesias,"47 Semanas en lista
4x"
2015,2,Cheerleader,Omi,"51 Semanas en lista
3x"
2015,3,Lean On,MAJOR LAZER / MØ / DJ SNAKE,"43 Semanas en lista
3x"
2015,4,La Gozadera,Gente de Zona feat. Marc Anthony,"35 Semanas en lista
3x"
2015,5,Uptown Funk,Mark Ronson feat. Bruno Mars,"56 Semanas en lista
3x"
2015,6,Thinking out Loud,ED SHEERAN,"60 Semanas en lista
2x"
2015,7,Love Me Like You Do,Ellie Goulding,"47 Semanas en lista
2x"
2015,8,Travesuras,Nicky Jam,"73 Semanas en lista
2x"
2015,9,Are You with Me,Lost Frequencies,"40 Semanas en lista
2x"
2015,10,Él No Te Da - Radio Edit,Dasoul,"44 Semanas en lista
2x"
2015,11,Want To Want Me,JASON DERÜLO,"43 Semanas en lista
2x"
2015,12,Mi Nuevo Vicio,Paulina Rubio feat Morat,"41 Semanas en lista
2x"
2015,13,Ginza,J Balvin,"24 Semanas en lista
2x"
2015,14,El Taxi (feat Sensato & Osmani García),Pitbull,"47 Semanas en lista
2x"
2015,15,Firestone,Kygo feat. Conrad,"52 Semanas en lista
2x"
2015,16,See You Again feat Charlie Puth,Wiz Khalifa,"39 Semanas en lista
2x"
2015,17,Sigueme y te sigo,Daddy Yankee,"42 Semanas en lista
2x"
2015,18,Bailando,ENRIQUE IGLESIAS / DESCEMER BUENO / GENTE DE ZONA,"93 Semanas en lista
1x"
2015,19,Vuelve,Juan Magan feat Paulina Rubio y DCS,"25 Semanas en lista
1x"
2015,20,What Do You Mean?,Justin Bieber,"18 Semanas en lista
1x"
2015,21,Stole the Show,Kygo / Parson James,"41 Semanas en lista
1x"
2015,22,He Llorado (Como Un Niño),Juan Magan feat Gente De Zona,"36 Semanas en lista
1x"
2015,23,Sugar,Maroon 5,"50 Semanas en lista
1x"
2015,24,Si no te quisiera,Juan Magan Feat. Belinda & Lapiz Conciente,"59 Semanas en lista
1x"
